一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期
粮油,米面类,嘎嘎纯长粒香米,4.3,4.4,4.5,斤,2023-01-10
粮油,米面类,嘎嘎纯长粒香米,4.3,4.4,4.5,斤,2023-01-31
粮油,米面类,嘎嘎纯长粒香米,4.3,4.4,4.5,斤,2023-02-20
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-02-28
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-03-10
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-03-20
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-03-31
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-04-10
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-04-30
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-05-10
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-05-20
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-05-31
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-06-10
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-06-20
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-06-30
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-07-10
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-07-20
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-07-31
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-08-10
粮油,米面类,嘎嘎纯长粒香米,4.35,4.43,4.5,斤,2023-08-20
