一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期
粮油,食用油,大豆油,195.0,196.5,198.0,斤,2023-01-10
粮油,食用油,大豆油,195.0,196.5,198.0,斤,2023-01-31
粮油,食用油,大豆油,188.0,189.0,190.0,斤,2023-02-20
粮油,食用油,大豆油,185.0,187.5,190.0,斤,2023-02-28
粮油,食用油,大豆油,185.0,187.5,190.0,斤,2023-03-10
粮油,食用油,大豆油,185.0,187.5,190.0,斤,2023-03-20
粮油,食用油,大豆油,184.0,185.0,186.0,斤,2023-03-31
粮油,食用油,大豆油,184.0,185.0,186.0,斤,2023-04-10
粮油,食用油,大豆油,170.0,172.5,175.0,斤,2023-04-30
粮油,食用油,大豆油,165.0,167.5,170.0,斤,2023-05-10
粮油,食用油,大豆油,165.0,166.5,168.0,斤,2023-05-20
粮油,食用油,大豆油,160.0,162.5,165.0,斤,2023-05-31
粮油,食用油,大豆油,160.0,162.5,165.0,斤,2023-06-10
粮油,食用油,大豆油,160.0,162.5,165.0,斤,2023-06-20
粮油,食用油,大豆油,160.0,162.5,165.0,斤,2023-06-30
粮油,食用油,大豆油,160.0,162.5,165.0,斤,2023-07-10
粮油,食用油,大豆油,160.0,162.5,165.0,斤,2023-07-20
粮油,食用油,大豆油,165.0,167.5,170.0,斤,2023-07-31
粮油,食用油,大豆油,170.0,172.5,175.0,斤,2023-08-10
粮油,食用油,大豆油,170.0,172.5,175.0,斤,2023-08-20
粮油,食用油,大豆油,180.0,181.5,183.0,斤,2023-08-31
粮油,食用油,大豆油,175.0,176.5,178.0,斤,2023-09-10
粮油,食用油,大豆油,175.0,176.5,178.0,斤,2023-09-20
粮油,食用油,大豆油,175.0,176.5,178.0,斤,2023-09-30
粮油,食用油,大豆油,175.0,176.5,178.0,斤,2023-10-10
粮油,食用油,大豆油,168.0,170.5,173.0,斤,2023-10-20
粮油,食用油,大豆油,165.0,167.5,170.0,斤,2023-10-31
粮油,食用油,大豆油,165.0,167.5,170.0,斤,2023-11-10
粮油,食用油,大豆油,165.0,167.5,170.0,斤,2023-11-20
粮油,食用油,大豆油,165.0,167.5,170.0,斤,2023-11-30
粮油,食用油,大豆油,167.0,168.5,170.0,斤,2023-12-10
粮油,食用油,大豆油,167.0,168.5,170.0,斤,2023-12-20
粮油,食用油,大豆油,167.0,168.5,170.0,斤,2023-12-31
