一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期
水果,进口果,牛油果,13.0,15.0,17.0,斤,2023-01-10
水果,进口果,牛油果,13.0,15.0,17.0,斤,2023-01-31
水果,进口果,牛油果,28.0,29.0,30.0,斤,2023-02-20
水果,进口果,牛油果,26.0,27.0,28.0,斤,2023-02-28
水果,进口果,牛油果,23.0,24.0,25.0,斤,2023-03-10
水果,进口果,牛油果,19.0,20.5,22.0,斤,2023-03-20
水果,进口果,牛油果,15.0,16.0,17.0,斤,2023-03-31
水果,进口果,牛油果,22.0,22.5,23.0,斤,2023-04-10
水果,进口果,牛油果,22.0,23.5,25.0,斤,2023-04-30
水果,进口果,牛油果,17.0,18.5,20.0,斤,2023-05-10
水果,进口果,牛油果,15.0,15.5,16.0,斤,2023-05-20
水果,进口果,牛油果,11.0,13.0,15.0,斤,2023-05-31
水果,进口果,牛油果,10.6,11.2,11.8,斤,2023-06-10
水果,进口果,牛油果,9.3,9.65,10.0,斤,2023-06-20
水果,进口果,牛油果,6.5,7.25,8.0,斤,2023-06-30
水果,进口果,牛油果,8.7,9.85,11.0,斤,2023-07-10
水果,进口果,牛油果,8.7,9.85,11.0,斤,2023-07-20
水果,进口果,牛油果,9.5,10.25,11.0,斤,2023-07-31
水果,进口果,牛油果,9.5,10.25,11.0,斤,2023-08-10
水果,进口果,牛油果,8.5,9.5,10.5,斤,2023-08-20
水果,进口果,牛油果,13.0,14.0,15.0,斤,2023-08-31
水果,进口果,牛油果,13.0,14.0,15.0,斤,2023-09-10
水果,进口果,牛油果,16.0,17.0,18.0,斤,2023-09-20
水果,进口果,牛油果,16.0,17.0,18.0,斤,2023-09-30
水果,进口果,牛油果,15.0,16.0,17.0,斤,2023-10-10
水果,进口果,牛油果,15.0,16.0,17.0,斤,2023-10-20
水果,进口果,牛油果,15.0,16.0,17.0,斤,2023-10-31
水果,进口果,牛油果,15.0,16.0,17.0,斤,2023-11-10
水果,进口果,牛油果,15.0,16.0,17.0,斤,2023-11-20
水果,进口果,牛油果,15.0,16.0,17.0,斤,2023-11-30
水果,进口果,牛油果,15.0,16.0,17.0,斤,2023-12-10
水果,进口果,牛油果,15.0,16.0,17.0,斤,2023-12-20
水果,进口果,牛油果,15.0,16.0,17.0,斤,2023-12-31
