一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期
水果,进口果,猕猴桃,13.0,13.5,14.0,斤,2023-03-10
水果,进口果,猕猴桃,10.0,11.5,13.0,斤,2023-03-20
水果,进口果,猕猴桃,10.0,11.5,13.0,斤,2023-03-31
水果,进口果,猕猴桃,10.0,11.5,13.0,斤,2023-04-10
水果,进口果,猕猴桃,10.0,11.5,13.0,斤,2023-04-30
水果,进口果,猕猴桃,17.0,17.35,17.7,斤,2023-05-10
水果,进口果,猕猴桃,17.0,17.35,17.7,斤,2023-05-20
水果,进口果,猕猴桃,17.0,17.35,17.7,斤,2023-05-31
水果,进口果,猕猴桃,17.0,17.35,17.7,斤,2023-06-10
水果,进口果,猕猴桃,16.0,16.5,17.0,斤,2023-06-20
水果,进口果,猕猴桃,16.0,16.5,17.0,斤,2023-06-30
水果,进口果,猕猴桃,16.0,16.5,17.0,斤,2023-07-10
水果,进口果,猕猴桃,16.0,16.5,17.0,斤,2023-07-20
水果,进口果,猕猴桃,16.0,16.5,17.0,斤,2023-07-31
水果,进口果,猕猴桃,16.0,16.5,17.0,斤,2023-08-10
水果,进口果,猕猴桃,16.0,16.5,17.0,斤,2023-08-20
水果,进口果,猕猴桃,19.0,19.5,20.0,斤,2023-08-31
水果,进口果,猕猴桃,20.0,21.0,22.0,斤,2023-09-10
水果,进口果,猕猴桃,22.0,22.5,23.0,斤,2023-09-20
水果,进口果,猕猴桃,22.0,22.5,23.0,斤,2023-09-30
水果,进口果,猕猴桃,22.0,22.5,23.0,斤,2023-10-10
水果,进口果,猕猴桃,22.0,22.5,23.0,斤,2023-10-20
水果,进口果,猕猴桃,22.0,22.5,23.0,斤,2023-10-31
水果,进口果,猕猴桃,22.0,22.5,23.0,斤,2023-11-10
水果,进口果,猕猴桃,22.0,22.5,23.0,斤,2023-11-20
水果,进口果,猕猴桃,20.0,21.5,23.0,斤,2023-11-30
水果,进口果,猕猴桃,25.0,25.5,26.0,斤,2023-12-10
水果,进口果,猕猴桃,25.0,25.5,26.0,斤,2023-12-20
水果,进口果,猕猴桃,29.0,31.0,33.0,斤,2023-12-31
