一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期
肉禽蛋,禽蛋类,箱鸡蛋,208.0,210.5,213.0,箱,2023-01-01
肉禽蛋,禽蛋类,箱鸡蛋,208.0,210.5,213.0,箱,2023-01-02
肉禽蛋,禽蛋类,箱鸡蛋,208.0,210.5,213.0,箱,2023-01-03
肉禽蛋,禽蛋类,箱鸡蛋,208.0,210.5,213.0,箱,2023-01-04
肉禽蛋,禽蛋类,箱鸡蛋,208.0,210.5,213.0,箱,2023-01-05
肉禽蛋,禽蛋类,箱鸡蛋,208.0,210.5,213.0,箱,2023-01-06
肉禽蛋,禽蛋类,箱鸡蛋,213.0,215.5,218.0,箱,2023-01-07
肉禽蛋,禽蛋类,箱鸡蛋,219.0,221.5,224.0,箱,2023-01-08
肉禽蛋,禽蛋类,箱鸡蛋,220.0,223.5,227.0,箱,2023-01-09
肉禽蛋,禽蛋类,箱鸡蛋,220.0,223.5,227.0,箱,2023-01-10
肉禽蛋,禽蛋类,箱鸡蛋,220.0,223.5,227.0,箱,2023-01-11
肉禽蛋,禽蛋类,箱鸡蛋,226.0,229.0,232.0,箱,2023-01-12
肉禽蛋,禽蛋类,箱鸡蛋,230.0,232.5,235.0,箱,2023-01-13
肉禽蛋,禽蛋类,箱鸡蛋,234.0,237.0,240.0,箱,2023-01-14
肉禽蛋,禽蛋类,箱鸡蛋,234.0,237.0,240.0,箱,2023-01-15
肉禽蛋,禽蛋类,箱鸡蛋,234.0,237.0,240.0,箱,2023-01-16
肉禽蛋,禽蛋类,箱鸡蛋,234.0,237.0,240.0,箱,2023-01-17
肉禽蛋,禽蛋类,箱鸡蛋,234.0,237.0,240.0,箱,2023-01-18
肉禽蛋,禽蛋类,箱鸡蛋,234.0,237.0,240.0,箱,2023-01-19
肉禽蛋,禽蛋类,箱鸡蛋,234.0,237.0,240.0,箱,2023-01-20
肉禽蛋,禽蛋类,箱鸡蛋,184.0,192.0,200.0,箱,2023-01-28
肉禽蛋,禽蛋类,箱鸡蛋,184.0,192.0,200.0,箱,2023-01-29
肉禽蛋,禽蛋类,箱鸡蛋,191.0,195.5,200.0,箱,2023-01-30
肉禽蛋,禽蛋类,箱鸡蛋,196.0,200.5,205.0,箱,2023-01-31
肉禽蛋,禽蛋类,箱鸡蛋,201.0,205.5,210.0,箱,2023-02-01
肉禽蛋,禽蛋类,箱鸡蛋,201.0,205.5,210.0,箱,2023-02-02
肉禽蛋,禽蛋类,箱鸡蛋,201.0,205.5,210.0,箱,2023-02-03
肉禽蛋,禽蛋类,箱鸡蛋,201.0,205.5,210.0,箱,2023-02-04
肉禽蛋,禽蛋类,箱鸡蛋,201.0,205.5,210.0,箱,2023-02-05
