一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期
蔬菜,水菜,紫苏叶,4.0,5.0,6.0,斤,2023-01-02
蔬菜,水菜,紫苏叶,4.0,5.0,6.0,斤,2023-01-03
蔬菜,水菜,紫苏叶,6.0,7.25,8.5,斤,2023-04-14
蔬菜,水菜,紫苏叶,6.0,7.25,8.5,斤,2023-04-17
蔬菜,水菜,紫苏叶,6.0,7.25,8.5,斤,2023-04-18
蔬菜,水菜,紫苏叶,6.0,7.25,8.5,斤,2023-04-19
蔬菜,水菜,紫苏叶,6.0,7.25,8.5,斤,2023-04-20
蔬菜,水菜,紫苏叶,6.0,7.25,8.5,斤,2023-04-21
蔬菜,水菜,紫苏叶,6.0,6.5,7.0,斤,2023-04-24
蔬菜,水菜,紫苏叶,6.0,6.5,7.0,斤,2023-04-25
蔬菜,水菜,紫苏叶,6.0,6.5,7.0,斤,2023-04-26
蔬菜,水菜,紫苏叶,6.0,6.5,7.0,斤,2023-04-27
蔬菜,水菜,紫苏叶,6.0,6.5,7.0,斤,2023-04-28
蔬菜,水菜,紫苏叶,6.0,6.5,7.0,斤,2023-05-02
蔬菜,水菜,紫苏叶,6.0,6.5,7.0,斤,2023-05-03
蔬菜,水菜,紫苏叶,6.0,6.5,7.0,斤,2023-05-04
蔬菜,水菜,紫苏叶,6.0,6.5,7.0,斤,2023-05-05
蔬菜,水菜,紫苏叶,5.0,6.0,7.0,斤,2023-05-08
蔬菜,水菜,紫苏叶,5.0,6.0,7.0,斤,2023-05-09
蔬菜,水菜,紫苏叶,6.0,7.0,8.0,斤,2023-05-10
蔬菜,水菜,紫苏叶,6.0,7.0,8.0,斤,2023-05-11
蔬菜,水菜,紫苏叶,7.0,7.5,8.0,斤,2023-05-12
蔬菜,水菜,紫苏叶,7.0,7.5,8.0,斤,2023-05-15
蔬菜,水菜,紫苏叶,7.0,7.5,8.0,斤,2023-05-16
蔬菜,水菜,紫苏叶,7.0,7.5,8.0,斤,2023-05-17
蔬菜,水菜,紫苏叶,7.0,7.5,8.0,斤,2023-05-18
蔬菜,水菜,紫苏叶,7.0,7.5,8.0,斤,2023-05-19
蔬菜,水菜,紫苏叶,7.0,7.5,8.0,斤,2023-05-22
蔬菜,水菜,紫苏叶,7.0,7.5,8.0,斤,2023-05-23
蔬菜,水菜,紫苏叶,7.0,7.5,8.0,斤,2023-05-24
蔬菜,水菜,紫苏叶,6.5,6.75,7.0,斤,2023-05-25
蔬菜,水菜,紫苏叶,6.0,6.5,7.0,斤,2023-05-26
蔬菜,水菜,紫苏叶,6.0,6.5,7.0,斤,2023-05-29
蔬菜,水菜,紫苏叶,6.0,6.5,7.0,斤,2023-05-30
蔬菜,水菜,紫苏叶,6.0,6.5,7.0,斤,2023-05-31
蔬菜,水菜,紫苏叶,6.0,6.5,7.0,斤,2023-06-01
蔬菜,水菜,紫苏叶,6.0,6.5,7.0,斤,2023-06-02
蔬菜,水菜,紫苏叶,6.0,6.5,7.0,斤,2023-06-05
蔬菜,水菜,紫苏叶,6.0,6.5,7.0,斤,2023-06-06
蔬菜,水菜,紫苏叶,6.0,6.5,7.0,斤,2023-06-07
蔬菜,水菜,紫苏叶,6.0,6.5,7.0,斤,2023-06-08
蔬菜,水菜,紫苏叶,6.0,6.5,7.0,斤,2023-06-09
蔬菜,水菜,紫苏叶,6.0,6.5,7.0,斤,2023-06-12
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-06-13
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-06-14
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-06-15
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-06-16
蔬菜,水菜,紫苏叶,4.5,4.75,5.0,斤,2023-06-19
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-06-20
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-06-21
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-06-22
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-06-23
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-06-26
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-06-27
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-06-28
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-06-29
蔬菜,水菜,紫苏叶,3.0,3.25,3.5,斤,2023-06-30
蔬菜,水菜,紫苏叶,3.5,3.75,4.0,斤,2023-07-03
蔬菜,水菜,紫苏叶,3.5,3.75,4.0,斤,2023-07-04
蔬菜,水菜,紫苏叶,3.5,3.75,4.0,斤,2023-07-05
蔬菜,水菜,紫苏叶,3.5,3.75,4.0,斤,2023-07-06
蔬菜,水菜,紫苏叶,3.5,3.75,4.0,斤,2023-07-07
蔬菜,水菜,紫苏叶,3.5,3.75,4.0,斤,2023-07-10
蔬菜,水菜,紫苏叶,3.5,3.75,4.0,斤,2023-07-11
蔬菜,水菜,紫苏叶,3.5,3.75,4.0,斤,2023-07-12
蔬菜,水菜,紫苏叶,3.5,3.75,4.0,斤,2023-07-13
蔬菜,水菜,紫苏叶,3.5,3.75,4.0,斤,2023-07-14
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-07-17
蔬菜,水菜,紫苏叶,3.0,3.25,3.5,斤,2023-07-18
蔬菜,水菜,紫苏叶,3.0,3.25,3.5,斤,2023-07-19
蔬菜,水菜,紫苏叶,3.0,3.25,3.5,斤,2023-07-20
蔬菜,水菜,紫苏叶,3.0,3.25,3.5,斤,2023-07-21
蔬菜,水菜,紫苏叶,3.0,3.25,3.5,斤,2023-07-24
蔬菜,水菜,紫苏叶,3.0,3.25,3.5,斤,2023-07-25
蔬菜,水菜,紫苏叶,3.0,3.25,3.5,斤,2023-07-26
蔬菜,水菜,紫苏叶,3.0,3.25,3.5,斤,2023-07-27
蔬菜,水菜,紫苏叶,3.0,3.25,3.5,斤,2023-07-28
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-07-31
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-08-01
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-08-02
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-08-03
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-08-04
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-08-07
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-08-08
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-08-09
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-08-10
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-08-11
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-08-14
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-08-15
蔬菜,水菜,紫苏叶,4.5,4.75,5.0,斤,2023-08-16
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-08-17
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-08-18
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-08-21
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-08-22
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-08-23
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-08-24
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-08-25
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-08-28
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-08-29
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-08-30
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-08-31
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-09-01
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-09-04
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-09-05
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-09-06
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-09-07
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-09-08
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-09-11
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-09-12
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-09-13
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-09-14
蔬菜,水菜,紫苏叶,4.0,4.25,4.5,斤,2023-09-15
蔬菜,水菜,紫苏叶,3.5,3.75,4.0,斤,2023-09-18
蔬菜,水菜,紫苏叶,3.5,3.75,4.0,斤,2023-09-19
蔬菜,水菜,紫苏叶,3.5,3.75,4.0,斤,2023-09-20
蔬菜,水菜,紫苏叶,3.5,3.75,4.0,斤,2023-09-21
蔬菜,水菜,紫苏叶,3.5,3.75,4.0,斤,2023-09-22
蔬菜,水菜,紫苏叶,3.5,3.75,4.0,斤,2023-09-25
蔬菜,水菜,紫苏叶,3.5,3.75,4.0,斤,2023-09-26
蔬菜,水菜,紫苏叶,3.5,3.75,4.0,斤,2023-09-27
蔬菜,水菜,紫苏叶,3.5,3.75,4.0,斤,2023-09-28
蔬菜,水菜,紫苏叶,3.5,3.75,4.0,斤,2023-09-29
蔬菜,水菜,紫苏叶,3.5,3.75,4.0,斤,2023-10-02
蔬菜,水菜,紫苏叶,3.5,3.75,4.0,斤,2023-10-03
蔬菜,水菜,紫苏叶,3.5,3.75,4.0,斤,2023-10-04
蔬菜,水菜,紫苏叶,3.5,3.75,4.0,斤,2023-10-05
蔬菜,水菜,紫苏叶,3.5,3.75,4.0,斤,2023-10-06
