一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期
粮油,杂粮类,花生米,6.0,6.25,6.5,斤,2023-01-10
粮油,杂粮类,花生米,6.0,6.25,6.5,斤,2023-01-31
粮油,杂粮类,花生米,6.0,6.25,6.5,斤,2023-02-20
粮油,杂粮类,花生米,6.0,6.25,6.5,斤,2023-02-28
粮油,杂粮类,花生米,6.0,6.25,6.5,斤,2023-03-10
粮油,杂粮类,花生米,6.0,6.25,6.5,斤,2023-03-20
粮油,杂粮类,花生米,5.5,6.0,6.5,斤,2023-03-31
粮油,杂粮类,花生米,5.5,6.0,6.5,斤,2023-04-10
粮油,杂粮类,花生米,5.5,6.0,6.5,斤,2023-04-30
粮油,杂粮类,花生米,5.5,6.0,6.5,斤,2023-05-10
粮油,杂粮类,花生米,6.0,6.5,7.0,斤,2023-05-20
粮油,杂粮类,花生米,6.0,6.5,7.0,斤,2023-05-31
粮油,杂粮类,花生米,7.0,7.5,8.0,斤,2023-06-10
粮油,杂粮类,花生米,7.0,7.5,8.0,斤,2023-06-20
粮油,杂粮类,花生米,7.0,7.5,8.0,斤,2023-06-30
粮油,杂粮类,花生米,7.0,7.5,8.0,斤,2023-07-10
粮油,杂粮类,花生米,7.0,7.5,8.0,斤,2023-07-20
粮油,杂粮类,花生米,7.0,7.5,8.0,斤,2023-07-31
粮油,杂粮类,花生米,7.0,7.5,8.0,斤,2023-08-10
粮油,杂粮类,花生米,7.0,7.5,8.0,斤,2023-08-20
粮油,杂粮类,花生米,7.0,7.5,8.0,斤,2023-08-31
粮油,杂粮类,花生米,7.0,7.5,8.0,斤,2023-09-10
粮油,杂粮类,花生米,7.0,7.5,8.0,斤,2023-09-20
粮油,杂粮类,花生米,7.0,7.5,8.0,斤,2023-09-30
粮油,杂粮类,花生米,7.0,7.5,8.0,斤,2023-10-10
粮油,杂粮类,花生米,7.0,7.5,8.0,斤,2023-10-20
粮油,杂粮类,花生米,6.0,6.5,7.0,斤,2023-10-31
粮油,杂粮类,花生米,5.5,6.0,6.5,斤,2023-11-10
粮油,杂粮类,花生米,5.5,6.0,6.5,斤,2023-11-20
粮油,杂粮类,花生米,6.5,7.0,7.5,斤,2023-11-30
粮油,杂粮类,花生米,6.5,6.75,7.0,斤,2023-12-10
粮油,杂粮类,花生米,6.5,6.75,7.0,斤,2023-12-20
粮油,杂粮类,花生米,6.5,6.75,7.0,斤,2023-12-31
