一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期
粮油,食用油,元宝牌大豆油,90.0,91.0,92.0,斤,2023-12-31
粮油,食用油,元宝牌大豆油,90.0,91.0,92.0,斤,2023-12-20
粮油,食用油,元宝牌大豆油,90.0,91.0,92.0,斤,2023-12-10
粮油,食用油,元宝牌大豆油,90.0,91.0,92.0,斤,2023-11-30
粮油,食用油,元宝牌大豆油,90.0,91.0,92.0,斤,2023-11-20
粮油,食用油,元宝牌大豆油,90.0,91.0,92.0,斤,2023-11-10
粮油,食用油,元宝牌大豆油,90.0,91.0,92.0,斤,2023-10-31
粮油,食用油,元宝牌大豆油,90.0,91.0,92.0,斤,2023-10-20
粮油,食用油,元宝牌大豆油,90.0,91.0,92.0,斤,2023-10-10
粮油,食用油,元宝牌大豆油,90.0,91.0,92.0,斤,2023-09-30
粮油,食用油,元宝牌大豆油,90.0,91.0,92.0,斤,2023-09-20
粮油,食用油,元宝牌大豆油,90.0,91.0,92.0,斤,2023-09-10
粮油,食用油,元宝牌大豆油,90.0,91.0,92.0,斤,2023-08-31
粮油,食用油,元宝牌大豆油,87.0,88.0,89.0,斤,2023-08-20
粮油,食用油,元宝牌大豆油,87.0,88.0,89.0,斤,2023-08-10
粮油,食用油,元宝牌大豆油,85.0,86.5,88.0,斤,2023-07-31
粮油,食用油,元宝牌大豆油,85.0,86.5,88.0,斤,2023-07-20
粮油,食用油,元宝牌大豆油,85.0,86.5,88.0,斤,2023-07-10
粮油,食用油,元宝牌大豆油,85.0,86.5,88.0,斤,2023-06-30
粮油,食用油,元宝牌大豆油,85.0,86.5,88.0,斤,2023-06-20
粮油,食用油,元宝牌大豆油,85.0,86.5,88.0,斤,2023-06-10
粮油,食用油,元宝牌大豆油,85.0,86.5,88.0,斤,2023-05-31
粮油,食用油,元宝牌大豆油,88.0,89.0,90.0,斤,2023-05-20
粮油,食用油,元宝牌大豆油,88.0,90.0,92.0,斤,2023-05-10
粮油,食用油,元宝牌大豆油,90.0,91.5,93.0,斤,2023-04-30
粮油,食用油,元宝牌大豆油,97.5,98.75,100.0,斤,2023-04-10
粮油,食用油,元宝牌大豆油,97.5,98.75,100.0,斤,2023-03-31
粮油,食用油,元宝牌大豆油,97.5,98.75,100.0,斤,2023-03-20
粮油,食用油,元宝牌大豆油,97.5,98.75,100.0,斤,2023-03-10
粮油,食用油,元宝牌大豆油,100.0,101.5,103.0,斤,2023-02-28
粮油,食用油,元宝牌大豆油,105.0,106.0,107.0,斤,2023-02-20
粮油,食用油,元宝牌大豆油,110.0,110.5,111.0,斤,2023-01-31
粮油,食用油,元宝牌大豆油,110.0,110.5,111.0,斤,2023-01-10
