一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期
水果,进口果,火龙果,3.8,4.3,4.8,斤,2023-12-31
水果,进口果,火龙果,3.8,4.4,5.0,斤,2023-12-20
水果,进口果,火龙果,3.8,4.4,5.0,斤,2023-12-10
水果,进口果,火龙果,3.8,4.4,5.0,斤,2023-11-30
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-11-20
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-11-10
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-10-31
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-10-20
水果,进口果,火龙果,3.5,3.75,4.0,斤,2023-10-10
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-09-30
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-09-20
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-09-10
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-08-31
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-08-20
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-08-10
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-07-31
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-07-20
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-07-10
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-06-30
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-06-20
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-06-10
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-05-31
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-05-20
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-05-10
水果,进口果,火龙果,4.5,5.25,6.0,斤,2023-04-30
水果,进口果,火龙果,6.0,6.5,7.0,斤,2023-04-10
水果,进口果,火龙果,6.0,7.0,8.0,斤,2023-03-31
水果,进口果,火龙果,4.5,4.75,5.0,斤,2023-03-20
水果,进口果,火龙果,4.5,4.75,5.0,斤,2023-03-10
水果,进口果,火龙果,5.2,5.35,5.5,斤,2023-02-28
水果,进口果,火龙果,5.0,5.25,5.5,斤,2023-02-20
水果,进口果,火龙果,3.5,4.0,4.5,斤,2023-01-31
水果,进口果,火龙果,3.5,4.0,4.5,斤,2023-01-10
