一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2024-01-01
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-31
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-30
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-29
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-28
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-27
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-26
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-25
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-24
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-23
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-22
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-21
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-20
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-19
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-18
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-17
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-16
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-15
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-14
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-13
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-12
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-11
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-10
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-09
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-08
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-07
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-06
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-05
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-04
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-03
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-02
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-12-01
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-11-30
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-11-29
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-11-28
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-11-27
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-11-26
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-11-25
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-11-24
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-11-23
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-11-22
肉禽蛋,禽蛋类,白条兔,22.0,22.5,23.0,斤,2023-11-21
肉禽蛋,禽蛋类,白条兔,23.0,23.5,24.0,斤,2023-11-20
肉禽蛋,禽蛋类,白条兔,23.0,24.0,25.0,斤,2023-11-19
肉禽蛋,禽蛋类,白条兔,23.0,24.0,25.0,斤,2023-11-18
肉禽蛋,禽蛋类,白条兔,23.0,24.0,25.0,斤,2023-11-17
肉禽蛋,禽蛋类,白条兔,23.0,24.0,25.0,斤,2023-11-16
肉禽蛋,禽蛋类,白条兔,23.0,24.0,25.0,斤,2023-11-15
肉禽蛋,禽蛋类,白条兔,25.0,25.5,26.0,斤,2023-11-14
肉禽蛋,禽蛋类,白条兔,25.0,25.5,26.0,斤,2023-11-13
肉禽蛋,禽蛋类,白条兔,25.0,25.5,26.0,斤,2023-11-12
肉禽蛋,禽蛋类,白条兔,25.0,25.5,26.0,斤,2023-11-11
肉禽蛋,禽蛋类,白条兔,25.0,25.5,26.0,斤,2023-11-10
肉禽蛋,禽蛋类,白条兔,25.0,25.5,26.0,斤,2023-11-09
肉禽蛋,禽蛋类,白条兔,25.0,25.5,26.0,斤,2023-11-08
