一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期
水产,虾蟹类,白虾（笼装）,33.0,33.0,33.0,斤,2024-01-01
水产,虾蟹类,白虾（笼装）,33.0,33.0,33.0,斤,2024-01-01
水产,虾蟹类,白虾（笼装）,32.0,32.0,32.0,斤,2023-12-31
水产,虾蟹类,白虾（笼装）,30.0,30.5,31.0,斤,2023-12-31
水产,虾蟹类,白虾（笼装）,31.0,31.5,32.0,斤,2023-12-29
水产,虾蟹类,白虾（笼装）,30.0,30.5,31.0,斤,2023-12-29
水产,虾蟹类,白虾（笼装）,30.0,30.0,30.0,斤,2023-12-28
水产,虾蟹类,白虾（笼装）,29.0,29.0,29.0,斤,2023-12-28
水产,虾蟹类,白虾（笼装）,30.0,30.0,30.0,斤,2023-12-27
水产,虾蟹类,白虾（笼装）,29.0,29.0,29.0,斤,2023-12-27
水产,虾蟹类,白虾（笼装）,30.0,30.5,31.0,斤,2023-12-26
水产,虾蟹类,白虾（笼装）,30.0,30.0,30.0,斤,2023-12-26
水产,虾蟹类,白虾（笼装）,32.0,32.0,32.0,斤,2023-12-25
水产,虾蟹类,白虾（笼装）,30.0,31.0,32.0,斤,2023-12-25
水产,虾蟹类,白虾（笼装）,33.0,33.5,34.0,斤,2023-12-24
水产,虾蟹类,白虾（笼装）,33.0,33.0,33.0,斤,2023-12-24
水产,虾蟹类,白虾（笼装）,35.0,35.5,36.0,斤,2023-12-22
水产,虾蟹类,白虾（笼装）,34.0,34.5,35.0,斤,2023-12-22
水产,虾蟹类,白虾（笼装）,32.0,32.5,33.0,斤,2023-12-21
水产,虾蟹类,白虾（笼装）,30.0,30.0,30.0,斤,2023-12-21
水产,虾蟹类,白虾（笼装）,32.0,32.5,33.0,斤,2023-12-20
水产,虾蟹类,白虾（笼装）,30.0,30.0,30.0,斤,2023-12-20
水产,虾蟹类,白虾（笼装）,30.0,30.0,30.0,斤,2023-12-19
水产,虾蟹类,白虾（笼装）,28.0,28.5,29.0,斤,2023-12-19
水产,虾蟹类,白虾（笼装）,28.0,28.0,28.0,斤,2023-12-18
水产,虾蟹类,白虾（笼装）,27.0,27.5,28.0,斤,2023-12-18
水产,虾蟹类,白虾（笼装）,24.0,24.5,25.0,斤,2023-12-17
水产,虾蟹类,白虾（笼装）,23.0,23.5,24.0,斤,2023-12-17
水产,虾蟹类,白虾（笼装）,29.0,29.0,29.0,斤,2023-12-15
水产,虾蟹类,白虾（笼装）,28.0,28.0,28.0,斤,2023-12-15
水产,虾蟹类,白虾（笼装）,29.0,29.0,29.0,斤,2023-12-14
水产,虾蟹类,白虾（笼装）,28.0,28.0,28.0,斤,2023-12-14
水产,虾蟹类,白虾（笼装）,26.0,26.0,26.0,斤,2023-12-13
水产,虾蟹类,白虾（笼装）,25.0,25.0,25.0,斤,2023-12-13
水产,虾蟹类,白虾（笼装）,25.0,25.0,25.0,斤,2023-12-12
水产,虾蟹类,白虾（笼装）,24.0,24.0,24.0,斤,2023-12-12
水产,虾蟹类,白虾（笼装）,26.0,26.0,26.0,斤,2023-12-11
水产,虾蟹类,白虾（笼装）,25.0,25.0,25.0,斤,2023-12-11
水产,虾蟹类,白虾（笼装）,26.0,26.0,26.0,斤,2023-12-10
水产,虾蟹类,白虾（笼装）,25.0,25.0,25.0,斤,2023-12-10
水产,虾蟹类,白虾（笼装）,27.0,27.0,27.0,斤,2023-12-08
水产,虾蟹类,白虾（笼装）,26.0,26.0,26.0,斤,2023-12-08
水产,虾蟹类,白虾（笼装）,27.0,27.0,27.0,斤,2023-12-07
水产,虾蟹类,白虾（笼装）,26.0,26.0,26.0,斤,2023-12-07
水产,虾蟹类,白虾（笼装）,26.0,26.0,26.0,斤,2023-12-06
水产,虾蟹类,白虾（笼装）,25.0,25.0,25.0,斤,2023-12-06
水产,虾蟹类,白虾（笼装）,26.0,26.0,26.0,斤,2023-12-05
