一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期
蔬菜,特菜,百合,230.0,230.5,231.0,斤,2023-12-31
蔬菜,特菜,百合,230.0,230.5,231.0,斤,2023-12-20
蔬菜,特菜,百合,229.0,229.5,230.0,斤,2023-12-10
蔬菜,特菜,百合,209.0,209.5,210.0,斤,2023-11-30
蔬菜,特菜,百合,209.0,209.5,210.0,斤,2023-11-20
蔬菜,特菜,百合,209.0,209.5,210.0,斤,2023-11-10
蔬菜,特菜,百合,200.0,200.5,201.0,斤,2023-10-31
蔬菜,特菜,百合,200.0,200.5,201.0,斤,2023-10-20
蔬菜,特菜,百合,200.0,200.5,201.0,斤,2023-10-10
蔬菜,特菜,百合,200.0,200.5,201.0,斤,2023-10-10
蔬菜,特菜,百合,190.0,190.5,191.0,斤,2023-09-30
蔬菜,特菜,百合,180.0,180.5,181.0,斤,2023-09-20
蔬菜,特菜,百合,180.0,180.5,181.0,斤,2023-09-10
蔬菜,特菜,百合,170.0,170.5,171.0,斤,2023-08-31
蔬菜,特菜,百合,160.0,160.5,161.0,斤,2023-08-20
蔬菜,特菜,百合,115.0,115.5,116.0,斤,2023-08-10
蔬菜,特菜,百合,110.0,110.5,111.0,斤,2023-07-31
蔬菜,特菜,百合,109.0,109.5,110.0,斤,2023-07-20
蔬菜,特菜,百合,109.0,109.5,110.0,斤,2023-07-10
蔬菜,特菜,百合,109.0,109.5,110.0,斤,2023-06-30
蔬菜,特菜,百合,109.0,109.5,110.0,斤,2023-06-20
蔬菜,特菜,百合,109.0,109.5,110.0,斤,2023-06-10
蔬菜,特菜,百合,109.0,109.5,110.0,斤,2023-05-31
蔬菜,特菜,百合,109.0,109.5,110.0,斤,2023-05-20
蔬菜,特菜,百合,105.0,105.25,105.5,斤,2023-05-10
蔬菜,特菜,百合,105.0,105.25,105.5,斤,2023-04-30
蔬菜,特菜,百合,94.0,94.5,95.0,斤,2023-04-10
蔬菜,特菜,百合,94.0,94.5,95.0,斤,2023-03-31
蔬菜,特菜,百合,92.0,92.5,93.0,斤,2023-03-20
蔬菜,特菜,百合,92.0,92.5,93.0,斤,2023-03-10
蔬菜,特菜,百合,95.0,95.5,96.0,斤,2023-02-28
蔬菜,特菜,百合,95.0,95.5,96.0,斤,2023-02-20
蔬菜,特菜,百合,89.0,89.5,90.0,斤,2023-01-31
蔬菜,特菜,百合,60.0,60.5,61.0,斤,2023-01-10
