一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期
水果,进口果,车厘子,45.0,60.0,75.0,斤,2023-12-31
水果,进口果,车厘子,45.0,60.0,75.0,斤,2023-12-20
水果,进口果,车厘子,50.0,65.0,80.0,斤,2023-12-10
水果,进口果,车厘子,55.0,72.5,90.0,斤,2023-11-30
水果,进口果,车厘子,55.0,72.5,90.0,斤,2023-11-20
水果,进口果,车厘子,100.0,120.0,140.0,斤,2023-11-10
水果,进口果,车厘子,130.0,165.0,200.0,斤,2023-10-31
水果,进口果,车厘子,65.0,66.5,68.0,斤,2023-09-30
水果,进口果,车厘子,65.0,66.5,68.0,斤,2023-09-20
水果,进口果,车厘子,48.0,53.0,58.0,斤,2023-09-10
水果,进口果,车厘子,48.0,53.0,58.0,斤,2023-08-31
水果,进口果,车厘子,42.0,50.0,58.0,斤,2023-08-20
水果,进口果,车厘子,38.0,51.5,65.0,斤,2023-08-10
水果,进口果,车厘子,36.0,40.5,45.0,斤,2023-07-31
水果,进口果,车厘子,36.0,40.5,45.0,斤,2023-07-20
水果,进口果,车厘子,33.0,39.0,45.0,斤,2023-07-10
水果,进口果,车厘子,33.0,35.5,38.0,斤,2023-06-30
水果,进口果,车厘子,95.0,97.5,100.0,斤,2023-06-20
水果,进口果,车厘子,95.0,97.5,100.0,斤,2023-06-10
水果,进口果,车厘子,95.0,97.5,100.0,斤,2023-05-31
水果,进口果,车厘子,18.0,34.0,50.0,斤,2023-01-31
水果,进口果,车厘子,18.0,34.0,50.0,斤,2023-01-10
