一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期
水果,进口果,金果,38.0,39.5,41.0,斤,2023-12-31
水果,进口果,金果,38.0,39.5,41.0,斤,2023-12-20
水果,进口果,金果,38.0,39.5,41.0,斤,2023-12-10
水果,进口果,金果,30.0,31.5,33.0,斤,2023-11-30
水果,进口果,金果,29.5,30.15,30.8,斤,2023-11-20
水果,进口果,金果,29.5,30.15,30.8,斤,2023-11-10
水果,进口果,金果,29.5,30.15,30.8,斤,2023-10-31
水果,进口果,金果,29.5,30.15,30.8,斤,2023-10-20
水果,进口果,金果,29.5,30.15,30.8,斤,2023-10-10
水果,进口果,金果,29.5,30.15,30.8,斤,2023-09-30
水果,进口果,金果,26.5,27.25,28.0,斤,2023-09-20
水果,进口果,金果,26.5,27.25,28.0,斤,2023-09-10
水果,进口果,金果,26.5,27.25,28.0,斤,2023-08-31
水果,进口果,金果,28.0,28.5,29.0,斤,2023-08-20
水果,进口果,金果,26.0,26.2,26.4,斤,2023-08-10
水果,进口果,金果,26.0,26.2,26.4,斤,2023-07-31
水果,进口果,金果,26.0,26.2,26.4,斤,2023-07-20
水果,进口果,金果,26.0,26.2,26.4,斤,2023-07-10
水果,进口果,金果,26.0,27.5,29.0,斤,2023-06-30
水果,进口果,金果,26.0,27.5,29.0,斤,2023-06-20
水果,进口果,金果,26.0,27.5,29.0,斤,2023-06-10
水果,进口果,金果,26.0,27.5,29.0,斤,2023-05-31
水果,进口果,金果,26.0,27.5,29.0,斤,2023-05-20
水果,进口果,金果,27.0,28.5,30.0,斤,2023-05-10
水果,进口果,金果,32.0,33.5,35.0,斤,2023-04-30
水果,进口果,金果,51.0,53.0,55.0,斤,2023-03-20
水果,进口果,金果,51.0,53.0,55.0,斤,2023-03-10
水果,进口果,金果,51.0,53.0,55.0,斤,2023-02-28
水果,进口果,金果,50.0,52.5,55.0,斤,2023-02-20
水果,进口果,金果,47.0,50.0,53.0,斤,2023-01-31
水果,进口果,金果,41.0,42.5,44.0,斤,2023-01-10
